URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-neck,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.66",EMSExamNeckVS,EMS Neck Assessment,"NEMSIS eExam.07 - Physical findings on neck assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-neurological,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.67",EMSExamNeurologicalVS,EMS Neurological Assessment,"NEMSIS eExam.20 - Neurological assessment findings including strength, speech, coordination, and seizures.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-pelvic-gu,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.68",EMSExamPelvicGUVS,EMS Pelvis/Genitourinary Assessment,"NEMSIS eExam.12 - Physical findings on pelvic/genitourinary assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-skin,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.69",EMSExamSkinVS,EMS Skin Assessment,"NEMSIS eExam.04 - Physical findings on skin assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-exam-stroke-resolved,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.70",EMSExamStrokeSymptomsResolvedVS,EMS Stroke/CVA Symptoms Resolved,"NEMSIS eExam.21 - Whether stroke/CVA symptoms resolved prior to or during EMS care.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-external-document-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.141",EMSExternalDocumentTypeVS,EMS ExternalDocumentType VS,"Type of external electronic document associated with the PCR (eOther.09).","StructureDefinition/ext-ems-document-type","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-external-report-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.71",EMSExternalReportTypeVS,EMS External Report Type VS,"Type of external report associated with the EMS event (eOutcome.03).",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-first-rhythm,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.72",EMSFirstRhythmVS,EMS First Monitored Rhythm VS,"First monitored cardiac rhythm by this EMS unit (eArrest.11). Subset for initial arrest rhythms. For full rhythm list including post-ROSC, see EMSCardiacRhythmVS.","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-gcs-qualifier,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.73",EMSGCSQualifierVS,EMS GCS Qualifier,"NEMSIS eVitals.22 - Qualifiers documenting conditions that affect GCS scoring validity.","StructureDefinition/ems-observation-gcs","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-history-med-dosage-units,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.133",EMSHistoryMedDosageUnitsVS,EMS Home Medication Dosage Units VS,"Units for the patient's current (home) medication dose (eHistory.14). Distinct from the eMedications.06 administered-dose units (3706xxx codes).",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-history-obtained-from,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.131",EMSHistoryObtainedFromVS,EMS Medical History Obtained From VS,"The source of the patient's medical history information (eHistory.09).","StructureDefinition/ext-ems-history-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-hospital-capability,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.74",EMSHospitalCapabilityVS,EMS Hospital Capability,"NEMSIS eDisposition.23 - Specialty capabilities of the receiving facility.","StructureDefinition/ext-ems-destination-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-hospital-destination,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.75",EMSHospitalDestinationVS,EMS Hospital In-Patient Destination,"NEMSIS eDisposition.22 - The specific in-hospital unit or bed type the patient was delivered to.","StructureDefinition/ext-ems-destination-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-imaging-study-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.76",EMSImagingStudyTypeVS,EMS Imaging Study Type VS,"Type of imaging study obtained (eLabs.05).",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-immunization-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.132",EMSImmunizationTypeVS,EMS Immunization Type VS,"The patient's immunization history type (eHistory.10).","StructureDefinition/ext-ems-history-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-incident-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.77",EMSIncidentTypeVS,EMS Chief Complaint Anatomic Location (ValueSet),"NEMSIS eSituation.07 - The anatomic location of the patient's chief complaint.","StructureDefinition/ext-ems-incident-type","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-initial-acuity,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.78",EMSInitialAcuityVS,EMS Initial Patient Acuity,"NEMSIS eSituation.13 - Patient acuity at initial EMS contact.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-insurance-billing-priority,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.79",EMSInsuranceBillingPriorityVS,EMS Insurance Billing Priority VS,"Insurance company billing priority (ePayment.11).",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-insured-relationship,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.80",EMSInsuredRelationshipVS,EMS Insured Relationship VS,"Patient's relationship to the insured (ePayment.22).","StructureDefinition/ems-coverage","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-lab-result-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.81",EMSLabResultTypeVS,EMS Lab Result Type VS,"Type of lab result obtained (eLabs.03).",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-level-of-care,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.82",EMSLevelOfCareVS,EMS Level of Care Provided per Protocol,"NEMSIS eDisposition.32 - The level of care (BLS, ALS, Critical Care, etc.) authorized by protocol.","StructureDefinition/ext-ems-disposition-codes","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-mci-triage-class,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.83",EMSMCITriageClassVS,EMS MCI Triage Classification,"NEMSIS eScene.08 - START/JumpSTART triage classification for MCI patient.","StructureDefinition/ext-ems-scene-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-mechanism-of-injury,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.84",EMSMechanismOfInjuryVS,EMS Mechanism of Injury VS,"The mechanism of the event which caused the injury (eInjury.02).","StructureDefinition/ext-ems-injury-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-med-frequency,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.136",EMSMedFrequencyVS,EMS Home Medication Frequency VS,"Dosing frequency for the patient's current (home) medications (eHistory.20).","StructureDefinition/ems-medicationstatement","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-medical-director-board-cert,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.148",EMSMedicalDirectorBoardCertVS,EMS MedicalDirectorBoardCert VS,"The agency medical director board certification type (dContact.14).","StructureDefinition/ext-ems-medical-director","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-medical-director-degree,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.147",EMSMedicalDirectorDegreeVS,EMS MedicalDirectorDegree VS,"The agency medical director degree (dContact.13).","StructureDefinition/ext-ems-medical-director","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-medication-complication,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.85",EMSMedicationComplicationVS,EMS Medication Complication,"NEMSIS eMedications.08 - Adverse reactions or complications occurring with medication administration.","StructureDefinition/ext-ems-medication-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-medication-dosage-units,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.86",EMSMedicationDosageUnitsVS,EMS Medication Dosage Units,"NEMSIS eMedications.06 - Units of measurement for medication dosage.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-medication-route,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.87",EMSMedicationRouteVS,EMS Medication Administered Route,"NEMSIS eMedications.04 - The route by which the medication was administered.","StructureDefinition/ems-medicationadministration,StructureDefinition/ems-medicationstatement","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-monitoring-capability,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.152",EMSMonitoringCapabilityVS,EMS MonitoringCapability VS,"Patient monitoring capabilities of the agency (dConfiguration.15).","StructureDefinition/ext-ems-agency-configuration","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-neurological-outcome,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.88",EMSNeurologicalOutcomeVS,EMS Neurological Outcome VS,"Cerebral performance category (CPC) at hospital discharge (eArrest.13).","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-not-value,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.89",EMSNotValueVS,NEMSIS Not Value (NV),"NEMSIS Not Value codes used when a data element is Not Applicable, Not Recorded, or Not Reporting.","StructureDefinition/ext-ems-not-value","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-osha-ppe,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.90",EMSOSHAPPEVS,EMS OSHA Personal Protective Equipment VS,"OSHA-defined personal protective equipment in use by the patient at the time of a work-related injury (eInjury.10).","StructureDefinition/ext-ems-injury-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-pain-scale-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.91",EMSPainScaleTypeVS,EMS Pain Scale Type (ValueSet),"NEMSIS eVitals.28 - The type of pain scale used to assess the patient's pain.","StructureDefinition/ext-ems-pain-scale-type","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-patient-acuity,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.92",EMSPatientAcuityVS,EMS Patient Acuity Upon Release,"NEMSIS eDisposition.19 - The patient's acuity triage level at the time of EMS release.","StructureDefinition/ext-ems-disposition-codes","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-patient-eval-care,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.93",EMSPatientEvalCareVS,EMS Patient Evaluation/Care,"NEMSIS eDisposition.28 - What evaluation and care was provided to the patient.","StructureDefinition/ext-ems-disposition-codes","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-patient-representative,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.144",EMSPatientRepresentativeVS,EMS PatientRepresentative VS,"The relationship of the patient representative who signed (eOther.14).","StructureDefinition/ext-ems-signature-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-patient-transport-assessment,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.94",EMSPatientTransportAssessmentVS,EMS Patient Transport Assessment VS,"Patient's physical condition that necessitated ambulance transport (ePayment.41).","StructureDefinition/ext-ems-transport-assessment","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-payer-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.95",EMSPayerTypeVS,EMS Payer Type VS,"X12 payer type codes for the insurance company (ePayment.57).","StructureDefinition/ext-ems-payer-type","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-payment-method,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.96",EMSPaymentMethodVS,EMS Primary Payment Method VS,"Primary method of payment for the EMS response (ePayment.01).","StructureDefinition/ext-ems-primary-payment-method","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-pertinent-negative,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.97",EMSPertinentNegativeVS,NEMSIS Pertinent Negative (PN),"NEMSIS Pertinent Negative codes indicating a clinically significant documented absence.","StructureDefinition/ext-ems-pertinent-negative","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-pre-arrival-alert,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.98",EMSPreArrivalAlertVS,EMS Destination Team Pre-Arrival Alert,"NEMSIS eDisposition.24 - Whether and what type of pre-arrival alert was given to the receiving facility.","StructureDefinition/ext-ems-destination-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-pregnancy,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.135",EMSPregnancyVS,EMS Pregnancy Status VS,"The patient's pregnancy status (eHistory.18).","StructureDefinition/ext-ems-history-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-procedure-complication,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.99",EMSProcedureComplicationVS,EMS Procedure Complication,"NEMSIS eProcedures.07 - Adverse events or complications occurring with procedure performance.","StructureDefinition/ems-procedure","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-protocol-used,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.100",EMSProtocolUsedVS,EMS Protocols Used,"NEMSIS eProtocols.01 - EMS protocol(s) followed during the response.","StructureDefinition/ext-ems-agency-configuration,StructureDefinition/ext-ems-protocol-used","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-pulse-rhythm,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.101",EMSPulseRhythmVS,EMS Pulse Rhythm,"NEMSIS eVitals.13 - The regularity of the patient's pulse.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-reason-for-refusal,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.102",EMSReasonForRefusalVS,EMS Reason for Refusal/Release,"NEMSIS eDisposition.31 - Reason documented when patient refused care or was released.","StructureDefinition/ext-ems-disposition-codes","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-registry-candidate,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.137",EMSRegistryCandidateVS,EMS RegistryCandidate VS,"Potential system of care, specialty, or registry candidacy for the patient (eOther.02).","StructureDefinition/ext-ems-other-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-reperfusion-checklist,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.103",EMSReperfusionChecklistVS,EMS Reperfusion Checklist,"NEMSIS eVitals.31 - Contraindication status for thrombolytic therapy per the reperfusion checklist.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-respiratory-effort,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.104",EMSRespiratoryEffortVS,EMS Respiratory Effort,"NEMSIS eVitals.15 - The quality of the patient's respiratory effort.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-response-delay,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.105",EMSResponseDelayVS,EMS Type of Response Delay,"NEMSIS eResponse.09 - Types of response delay en route to scene.","StructureDefinition/ext-ems-response-delays","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-response-mode,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.106",EMSResponseModeVS,EMS Response Mode to Scene (ValueSet),"NEMSIS eResponse.23 - The response mode (emergent vs non-emergent) used en route to the scene.","StructureDefinition/ext-ems-response-mode","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-response-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.107",EMSResponseTypeVS,EMS Response Type (ValueSet),"NEMSIS eResponse.05 - The type of EMS response.","StructureDefinition/ext-ems-response-type","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-response-urgency,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.108",EMSResponseUrgencyVS,EMS Response Urgency VS,"Urgency of the EMS response for billing purposes (ePayment.40).","StructureDefinition/ext-ems-response-urgency","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-resuscitation-attempted,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.109",EMSResuscitationAttemptedVS,EMS Resuscitation Attempted VS,"Type of resuscitation attempted by the EMS unit (eArrest.03).","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-rosc,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.110",EMSROSCVs,EMS ROSC VS,"Whether and when return of spontaneous circulation occurred (eArrest.12).","StructureDefinition/ext-ems-arrest-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-safety-equipment,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.111",EMSSafetyEquipmentVS,EMS Occupant Safety Equipment VS,"Occupant safety equipment in use by the patient at the time of the injury (eInjury.07).","StructureDefinition/ext-ems-injury-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-scene-delay,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.112",EMSSceneDelayVS,EMS Type of Scene Delay,"NEMSIS eResponse.10 - Types of delay at the scene.","StructureDefinition/ext-ems-response-delays","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-seat-row-location,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.113",EMSSeatRowLocationVS,EMS Seat Row Location VS,"The seat row location of the patient in the vehicle at the time of the crash (eInjury.06).","StructureDefinition/ext-ems-injury-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-sex,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.114",EMSSexVS,EMS Sex,"NEMSIS ePatient.25 - The patient's sex as recorded by EMS. Used for documentation and mapping to Patient.gender and the us-core-birthsex extension. Note: ePatient.13 (Gender) is DEPRECATED in NEMSIS 3.5.1.251001CP2 — use ePatient.25 (Sex) instead.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-signature-reason,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.143",EMSSignatureReasonVS,EMS SignatureReason VS,"The reason a signature was obtained (eOther.13).","StructureDefinition/ext-ems-signature-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-signature-status,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.145",EMSSignatureStatusVS,EMS SignatureStatus VS,"The status/disposition of the signature (eOther.15).","StructureDefinition/ext-ems-signature-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-signer-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.142",EMSSignerTypeVS,EMS SignerType VS,"The type of person signing (eOther.12).","StructureDefinition/ext-ems-signature-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-situation-organ-system,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.115",EMSSituationOrganSystemVS,EMS Chief Complaint Organ System,"NEMSIS eSituation.08 - The organ system involved in the patient's chief complaint.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-specialty-service-capability,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.150",EMSSpecialtyServiceCapabilityVS,EMS SpecialtyServiceCapability VS,"EMS agency specialty service capabilities (dConfiguration.11).","StructureDefinition/ext-ems-agency-configuration","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-stroke-scale-result,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.116",EMSStrokeScaleResultVS,EMS Stroke Scale Result,"NEMSIS eVitals.29 - The result of the prehospital stroke scale assessment.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-stroke-scale-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.117",EMSStrokeScaleTypeVS,EMS Stroke Scale Type,"NEMSIS eVitals.30 - The prehospital stroke screening tool used.","StructureDefinition/ext-ems-stroke-scale-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-transfer-reason,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.118",EMSTransferReasonVS,EMS Reason for Interfacility Transfer,"NEMSIS eSituation.20 - The clinical reason for an interfacility transfer or transport.",,"Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-transport-delay,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.119",EMSTransportDelayVS,EMS Type of Transport Delay,"NEMSIS eResponse.11 - Types of delay during transport.","StructureDefinition/ext-ems-response-delays","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-transport-disposition,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.120",EMSTransportDispositionVS,EMS Transport Disposition,"NEMSIS eDisposition.30 - Whether/how the patient was transported.","StructureDefinition/ext-ems-disposition-codes,StructureDefinition/ext-ems-transport-reason","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-transport-method,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.121",EMSTransportMethodVS,EMS Transport Method,"NEMSIS eDisposition.16 - The vehicle/mode used to transport the patient.","StructureDefinition/ext-ems-transport-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-transport-mode,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.122",EMSTransportModeVS,EMS Transport Mode from Scene,"NEMSIS eDisposition.17 - Emergent vs non-emergent transport mode from scene.","StructureDefinition/ext-ems-transport-details","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-trauma-triage-high-risk,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.123",EMSTraumaTriageHighRiskVS,EMS Trauma Triage High Risk VS,"Trauma triage criteria indicating high risk for serious injury — CDC Field Triage Guideline red criteria (injury patterns and physiologic instability) (eInjury.03).","StructureDefinition/ext-ems-injury-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-trauma-triage-moderate-risk,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.124",EMSTraumaTriageModerateRiskVS,EMS Trauma Triage Moderate Risk VS,"Trauma triage criteria indicating moderate risk for serious injury — CDC Field Triage Guideline yellow criteria (mechanism of injury and EMS judgment) (eInjury.04).","StructureDefinition/ext-ems-injury-context","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-turn-around-delay,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.125",EMSTurnAroundDelayVS,EMS Type of Turn-Around Delay,"NEMSIS eResponse.12 - Types of delay returning to service after transport.","StructureDefinition/ext-ems-response-delays","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-unit-disposition,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.126",EMSUnitDispositionVS,EMS Unit Disposition,"NEMSIS eDisposition.27 - Whether/how the unit made patient contact.","StructureDefinition/ext-ems-disposition-codes","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-unit-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.127",EMSUnitTypeVS,EMS Unit Type (ValueSet),"NEMSIS eResponse.07 - The type of EMS vehicle/unit.","StructureDefinition/ext-ems-unit-type","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-vascular-access-location,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.128",EMSVascularAccessLocationVS,EMS Vascular Access Location,"NEMSIS eProcedures.13 - Anatomical site of vascular access (IV/IO line).","StructureDefinition/ems-procedure","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-vehicle-type,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.129",EMSVehicleTypeVS,EMS Vehicle Type,"NEMSIS dVehicle.04 - The type of EMS vehicle.","StructureDefinition/ems-device-vehicle","Internal"
https://fhirems.github.io/fhirEMSCoreIG/ValueSet/vs-ems-work-injury-exposure,0.2.0,active,"2.25.219926138944530828037824748808947630693.2.139",EMSWorkInjuryExposureVS,EMS WorkInjuryExposure VS,"Type of crew work-related injury, death, or suspected exposure (eOther.06).","StructureDefinition/ext-ems-crew-safety","Internal"
